status	p_value	morans_test_statistic	morans_I	gene_short_name	q_value
OK	0	140.249731074516	0.692587405637162	DPP10	0
OK	0	153.863028330318	0.759671823178945	ROBO2	0
OK	0	154.870152318088	0.764742996067598	DSCAM	0
OK	0	128.631088972324	0.635194533993713	KCNIP4	0
OK	0	142.336472949084	0.702910791812538	RBFOX1	0
OK	0	139.258679990637	0.687745117661388	CSMD1	0
OK	0	151.328095063616	0.747110901902442	TNR	0
OK	0	143.77211947125	0.709745429437927	CNTN5	0
OK	0	160.629522759465	0.793110096747833	GRIK1	0
OK	0	116.011742832842	0.572827126273646	LHFPL3	0
OK	0	132.117193309096	0.652298110064986	SGCZ	0
OK	0	172.913351172984	0.853851003262093	ADGRV1	0
OK	0	149.805623462378	0.739505583899	LINGO2	0
OK	0	149.685594900582	0.738873176158932	GALNTL6	0
OK	0	157.316061906692	0.776644664897517	PCDH15	0
OK	0	160.211005523054	0.79117641438658	SLC1A2	0
OK	0	159.443647740792	0.787395165643802	OPCML	0
OK	0	143.472863959671	0.708474016682367	LRMDA	0
OK	0	180.283333953271	0.889800944376663	DOCK8	0
OK	0	139.493063985445	0.688823184625538	SYT1	0
OK	0	139.42038778269	0.688517450713188	GPC5	0
OK	0	138.801924793602	0.685255851026079	KCNQ5	0
OK	0	176.299924907452	0.870104267418144	APBB1IP	0
OK	0	166.929671882142	0.824231001817823	KCNMB2	0
OK	0	173.576673265498	0.856996961824627	NXPH1	0
OK	0	158.677637152585	0.78363032961144	FGF14	0
OK	0	169.644865387788	0.837758585311707	SNTG1	0
OK	0	128.977087620207	0.636456605507816	CDH12	0
OK	0	148.791973128605	0.734543073960005	ZNF385D	0
OK	0	170.682212506354	0.842993895111072	GPM6A	0
OK	0	150.927065269859	0.745381399296313	DLGAP1	0
OK	0	154.159019124557	0.760969293815632	VCAN	0
OK	0	160.937279242609	0.794269908879341	CA10	0
OK	0	150.205031714998	0.741776960557431	GRIK2	0
OK	0	168.432549296912	0.831149040851222	LNCAROD	0
OK	0	150.11382790807	0.741163029306534	GRIP1	0
OK	0	112.575544811053	0.555324922350216	ENSG00000285534	0
OK	0	156.389799402222	0.772149740135898	KIAA1217	0
OK	0	122.913192908287	0.606741127444552	RALYL	0
OK	0	158.738568317778	0.783865880827139	KCND2	0
OK	0	99.853706429929	0.49224009136231	NRG1	0
OK	0	154.886458566886	0.764670738198539	ST6GAL1	0
OK	0	147.863759004348	0.728311134787303	ENSG00000287704	0
OK	0	141.098817274527	0.696587506069283	LUZP2	0
OK	0	135.402904245408	0.668746687188574	CTNNA2	0
OK	0	176.960625475585	0.873711634674304	OBI1-AS1	0
OK	0	126.021874198293	0.622132318974964	RUNX1	0
OK	0	167.530377541677	0.82651252535424	ENSG00000278254	0
OK	0	144.229953898137	0.711325714300995	MIR3681HG	0
OK	0	119.586273411309	0.59057931963236	LRRTM4	0
OK	0	175.510385762938	0.866870139824468	NRG3	0
OK	0	159.165899180922	0.785550414586108	SYNPR	0
OK	0	150.749293434805	0.744255603402154	HPSE2	0
OK	0	156.548485837904	0.772740344961892	TBXAS1	0
OK	0	173.145135427358	0.854999444529396	RYR3	0
OK	0	155.302042573913	0.766954809241096	TENM2	0
OK	0	155.070559427749	0.765912582050702	NRXN1	0
OK	0	153.959534710123	0.760224822353708	CCSER1	0
OK	0	160.075295551482	0.790437385493439	TRPM3	0
OK	0	152.700795113948	0.754096817949202	FGF12	0
OK	0	168.390772193646	0.830956103942252	SLCO2B1	0
OK	0	158.799208023738	0.783735079885722	ARHGAP15	0
OK	0	157.025855709616	0.775438329121308	MEG3	0
OK	0	153.137330065269	0.756103258226957	HS6ST3	0
OK	0	132.32607675831	0.653199764868392	FSTL5	0
OK	0	158.030886226549	0.780309753708459	XKR4	0
OK	0	102.112955055086	0.504302771788538	CNTNAP2	0
OK	0	134.650859788176	0.664746548121979	GPC6	0
OK	0	104.675859000388	0.516268629510893	FGF13	0
OK	0	128.586284646465	0.634763083788943	PTPRT	0
OK	0	146.656353330528	0.724023934172318	CNTN4	0
OK	0	143.578891587785	0.708829585883319	CHRM3	0
OK	0	142.557407215975	0.703826097464299	DLGAP2	0
OK	0	153.904522541162	0.759582998735124	MEGF11	0
OK	0	165.343207999847	0.815979341656841	FYB1	0
OK	0	109.348136413843	0.538751619419059	ENSG00000251031	0
OK	0	160.330563085465	0.791863663376866	NALF1	0
OK	0	136.333121127819	0.673345935329741	RORA	0
OK	0	141.7296532829	0.699460773540988	HS3ST4	0
OK	0	139.062059833431	0.68675505274765	ARHGAP24	0
OK	0	156.507939215267	0.772872861442293	PRKG1	0
OK	0	162.932106496491	0.803973224444164	RBM47	0
OK	0	80.1740960684064	0.395188169051022	CCDC26	0
OK	0	101.013278238135	0.498196037197708	TSHZ2	0
OK	0	109.690294396315	0.540125499086811	THSD7B	0
OK	0	153.702230162228	0.759018375821718	ATRNL1	0
OK	0	152.777593332421	0.754292705011061	MTUS2	0
OK	0	99.649983182142	0.491042715461323	IL1RAPL2	0
OK	0	152.814610341915	0.754508184868642	MMP16	0
OK	0	130.424046460438	0.643361437824606	C8orf34	0
OK	0	156.62734821349	0.773393671004832	CNTNAP5	0
OK	0	148.571461253668	0.733560160216509	FRMPD4	0
OK	0	141.88930796083	0.700473897834677	ASIC2	0
OK	0	136.421121450083	0.673654678740057	GRM7	0
OK	0	123.54561719467	0.608428513614457	CBLN2	0
OK	0	137.336540618602	0.678235737666144	MDGA2	0
OK	0	145.678251220592	0.71917492438872	ADGRL2	0
OK	0	148.630739228611	0.734057090347835	PITPNC1	0
OK	0	176.401066796995	0.870997324560189	ENSG00000286757	0
OK	0	160.009462565622	0.789957345843534	KCNC2	0
