p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	cell_type	direction
1.57586420293222e-05	4.58116270067072	1	0	0.058448803286756	FLT1	Oligodendrocytes	Up
1.57586420293222e-05	4.71157471577773	1	0	0.058448803286756	MECOM	Oligodendrocytes	Up
1.57586420293222e-05	2.13978861364792	1	0	0.058448803286756	ADGRL4	Oligodendrocytes	Up
1.57586420293222e-05	-4.00520513301612	0	1	0.058448803286756	SLC8A1-AS1	Oligodendrocytes	Down
1.57586420293222e-05	2.14829387306188	1	0	0.058448803286756	BTNL9	Oligodendrocytes	Up
1.57586420293222e-05	-2.06522656863951	0	1	0.058448803286756	PPP1R3C	Oligodendrocytes	Down
1.57586420293222e-05	5.3422782771404	1	0	0.058448803286756	EGFL7	Oligodendrocytes	Up
1.57586420293222e-05	16.2483141251876	1	0	0.058448803286756	LINC02147	Oligodendrocytes	Up
1.57586420293222e-05	3.3154490729794	1	0	0.058448803286756	HMOX1	Oligodendrocytes	Up
1.57586420293222e-05	1.51884744490885	1	0	0.058448803286756	IL1B	Oligodendrocytes	Up
1.57586420293222e-05	4.38071220844047	1	0	0.058448803286756	NOSTRIN	Oligodendrocytes	Up
1.57586420293222e-05	3.08855231095794	1	0	0.058448803286756	MIR223HG	Oligodendrocytes	Up
1.57586420293222e-05	8.83713256132372	1	0	0.058448803286756	ERG	Oligodendrocytes	Up
1.57586420293222e-05	6.27251591412784	1	0	0.058448803286756	ABCG2	Oligodendrocytes	Up
1.57586420293222e-05	4.2420848400124	1	0	0.058448803286756	SMAD6	Oligodendrocytes	Up
1.57586420293222e-05	3.44624126561914	1	0	0.058448803286756	LINC02432	Oligodendrocytes	Up
1.57586420293222e-05	4.5336081690392	1	0	0.058448803286756	ADGRF5	Oligodendrocytes	Up
1.57586420293222e-05	17.5414643930302	1	0	0.058448803286756	HPGDS	Oligodendrocytes	Up
1.57586420293222e-05	2.19086358049271	1	0	0.058448803286756	SERPINE1	Oligodendrocytes	Up
1.57586420293222e-05	3.5409827984058	1	0	0.058448803286756	CLEC7A	Oligodendrocytes	Up
1.57586420293222e-05	2.23004670790033	1	0	0.058448803286756	ENSG00000250863	Oligodendrocytes	Up
1.57586420293222e-05	1.66123139308612	1	0	0.058448803286756	CAV1	Oligodendrocytes	Up
1.57586420293222e-05	1.83366161559935	1	0	0.058448803286756	COL8A1	Oligodendrocytes	Up
1.57586420293222e-05	3.71435743160657	1	0	0.058448803286756	RAB39A	Oligodendrocytes	Up
1.57586420293222e-05	6.21809077008295	1	0	0.058448803286756	MAFB	Oligodendrocytes	Up
1.57586420293222e-05	2.88212854380802	1	0	0.058448803286756	ENSG00000254288	Oligodendrocytes	Up
1.57586420293222e-05	3.86365075719496	1	0	0.058448803286756	ENSG00000291144	Oligodendrocytes	Up
1.57586420293222e-05	2.45411980934876	1	0	0.058448803286756	CLEC1A	Oligodendrocytes	Up
1.57586420293222e-05	3.93889082617034	1	0	0.058448803286756	MS4A14	Oligodendrocytes	Up
1.57586420293222e-05	1.95307866227271	1	0	0.058448803286756	CYYR1	Oligodendrocytes	Up
1.57586420293222e-05	2.42482105165544	1	0	0.058448803286756	MROCKI	Oligodendrocytes	Up
1.57586420293222e-05	3.6910475855711	1	0	0.058448803286756	LINC02975	Oligodendrocytes	Up
1.57586420293222e-05	3.03632045192238	1	0	0.058448803286756	LINC01605	Oligodendrocytes	Up
1.57586420293222e-05	2.31221799304345	1	0	0.058448803286756	MAFF	Oligodendrocytes	Up
1.57586420293222e-05	5.3517202863641	1	0	0.058448803286756	SPI1	Oligodendrocytes	Up
1.57586420293222e-05	1.39269601511981	1	0	0.058448803286756	TAL1	Oligodendrocytes	Up
1.57586420293222e-05	2.66312826726166	1	0	0.058448803286756	ENSG00000283692	Oligodendrocytes	Up
1.57586420293222e-05	4.48686339420305	1	0	0.058448803286756	PALMD	Oligodendrocytes	Up
1.57586420293222e-05	4.07954489934859	1	0	0.058448803286756	SIRPB2	Oligodendrocytes	Up
1.57586420293222e-05	4.19391002175709	1	0	0.058448803286756	NOTCH4	Oligodendrocytes	Up
1.57586420293222e-05	3.58988156600172	1	0.062	0.058448803286756	HS3ST2	Oligodendrocytes	Up
1.57586420293222e-05	2.44980907388991	1	0.062	0.058448803286756	EDN1	Oligodendrocytes	Up
1.57586420293222e-05	1.97862226386846	0.909	0	0.058448803286756	C1QC	Oligodendrocytes	Up
1.57586420293222e-05	1.75546985116519	0.909	0	0.058448803286756	MET	Oligodendrocytes	Up
1.57586420293222e-05	9.89199847509836	0.909	0	0.058448803286756	CCDC141	Oligodendrocytes	Up
1.57586420293222e-05	1.38913042013271	0.909	0	0.058448803286756	ENSG00000285424	Oligodendrocytes	Up
1.57586420293222e-05	2.65751690733246	1	0.25	0.058448803286756	EMCN	Oligodendrocytes	Up
1.57586420293222e-05	2.48164736993007	1	0.25	0.058448803286756	JCAD	Oligodendrocytes	Up
1.57586420293222e-05	3.02003156870203	1	0.375	0.058448803286756	CLDN5	Oligodendrocytes	Up
1.57586420293222e-05	2.31852763296456	1	0.625	0.058448803286756	KMO	Oligodendrocytes	Up
1.57586420293222e-05	2.0139828836538	1	0.75	0.058448803286756	ENSG00000285744	Oligodendrocytes	Up
1.57586420293222e-05	-1.239222898659	0	0.188	0.058448803286756	MEPE	Oligodendrocytes	Down
1.57586420293222e-05	3.00494359717121	1	0.812	0.058448803286756	PAPSS2	Oligodendrocytes	Up
1.57586420293222e-05	3.12039044347669	0.182	0	0.058448803286756	ENSG00000271945	Oligodendrocytes	Up
1.96825683010824e-05	1.19639318318469	1	0.062	0.0730026458287145	LINC01697	Oligodendrocytes	Up
1.96825683010824e-05	2.77182642429911	0.909	0	0.0730026458287145	ENSG00000257398	Oligodendrocytes	Up
1.96825683010824e-05	5.04620782381296	0.909	0.062	0.0730026458287145	ABCA9	Oligodendrocytes	Up
1.96825683010824e-05	2.1868955469587	1	0.5	0.0730026458287145	CCDC170	Oligodendrocytes	Up
1.96825683010824e-05	2.57372898886371	1	0.562	0.0730026458287145	LRRK2	Oligodendrocytes	Up
1.96825683010824e-05	1.25433683800648	0.364	0	0.0730026458287145	APOC1	Oligodendrocytes	Up
2.45262889875869e-05	1.77902395605749	0.909	0	0.0909680058549599	FCGR2C	Oligodendrocytes	Up
2.45262889875869e-05	5.4642840972544	1	0.125	0.0909680058549599	PTPRB	Oligodendrocytes	Up
2.45262889875869e-05	9.8373766010253	1	0.25	0.0909680058549599	DAPK1	Oligodendrocytes	Up
2.45262889875869e-05	-1.18346736040284	0.273	1	0.0909680058549599	RGR	Oligodendrocytes	Down
2.45262889875869e-05	2.08714981367743	1	0.375	0.0909680058549599	ENSG00000288560	Oligodendrocytes	Up
2.45262889875869e-05	3.32636752878165	1	0.375	0.0909680058549599	GNG12-AS1	Oligodendrocytes	Up
3.04908711218402e-05	1.35586506792063	0.909	0	0.113090640990905	ENSG00000285572	Oligodendrocytes	Up
3.04908711218402e-05	1.43141999656943	0.909	0	0.113090640990905	IGF2BP2	Oligodendrocytes	Up
3.04908711218402e-05	3.72024997178372	1	0.25	0.113090640990905	TLR4	Oligodendrocytes	Up
3.04908711218402e-05	1.38356357797822	1	0.75	0.113090640990905	PPP1R12A-AS2	Oligodendrocytes	Up
3.78178279729845e-05	-1.44698229493355	0.091	1	0.140266323951799	HS3ST3A1	Oligodendrocytes	Down
3.78178279729845e-05	2.59193851145776	1	0.25	0.140266323951799	COL4A1	Oligodendrocytes	Up
3.78178279729845e-05	4.18173040848913	0.909	0.188	0.140266323951799	TSPAN9	Oligodendrocytes	Up
3.78178279729845e-05	-3.13295663727901	0.091	0.812	0.140266323951799	AK4	Oligodendrocytes	Down
3.78178279729845e-05	2.34739074832875	1	0.688	0.140266323951799	ANKRD29	Oligodendrocytes	Up
3.78178279729845e-05	2.70554079831212	1	0.75	0.140266323951799	HRH1	Oligodendrocytes	Up
4.67964548377351e-05	2.65759652320537	1	0.5	0.173568050993159	CADPS2	Oligodendrocytes	Up
4.67964548377351e-05	1.65282881861334	0.455	0	0.173568050993159	TMEM176B	Oligodendrocytes	Up
5.77723232527339e-05	3.62513415988079	0.909	0.125	0.21427754694439	TUBA1C	Oligodendrocytes	Up
5.77723232527339e-05	5.00632494428327	0.727	0	0.21427754694439	ENSG00000253557	Oligodendrocytes	Up
8.74397233943986e-05	-1.53935839081465	0.364	1	0.324313934069824	PDGFRB	Oligodendrocytes	Down
0.000107199492717702	1.0589499192905	1	0.875	0.397602918489958	ENSG00000250137	Oligodendrocytes	Up
0.000131120615173605	1.54574039437031	1	0.062	0.486326361678902	CTSS	Oligodendrocytes	Up
0.000131120615173605	1.4389469338467	1	0.062	0.486326361678902	ZNF75D	Oligodendrocytes	Up
0.000131120615173605	1.45909201861613	1	0.062	0.486326361678902	MX1	Oligodendrocytes	Up
0.000131120615173605	7.98583708901848	1	0.062	0.486326361678902	NPAS1	Oligodendrocytes	Up
0.000131120615173605	4.60537170684434	0.909	0.062	0.486326361678902	TNFSF13B	Oligodendrocytes	Up
0.000131120615173605	-2.61571245469827	0.364	1	0.486326361678902	VEGFA	Oligodendrocytes	Down
0.000131120615173605	2.23170428756224	0.909	0.375	0.486326361678902	COL4A2	Oligodendrocytes	Up
0.000131120615173605	1.13664521941992	1	0.562	0.486326361678902	RAB37	Oligodendrocytes	Up
0.000160009043665251	-4.23218400726501	1	0.062	0.593473542954417	SLC19A1	Oligodendrocytes	Down
0.000160009043665251	-8.6702704740435	1	0.062	0.593473542954417	CFAP418-AS1	Oligodendrocytes	Down
0.000160009043665251	-1.20412943766993	1	0.062	0.593473542954417	FRMD3	Oligodendrocytes	Down
0.000160009043665251	-8.41862286635347	1	0.062	0.593473542954417	CHST15	Oligodendrocytes	Down
0.000160009043665251	-8.18116894320994	1	0.062	0.593473542954417	ENSG00000228541	Oligodendrocytes	Down
0.000160009043665251	-3.72284012581624	1	0.062	0.593473542954417	GCNT2	Oligodendrocytes	Down
0.000160009043665251	-4.11730613906013	1	0.062	0.593473542954417	ENSG00000251680	Oligodendrocytes	Down
0.000160009043665251	-3.99273885975196	1	0.062	0.593473542954417	CRACDL	Oligodendrocytes	Down
0.000160009043665251	-3.99836256904555	1	0.062	0.593473542954417	LINC01515	Oligodendrocytes	Down
0.000160009043665251	-7.28937837784084	1	0.062	0.593473542954417	MIR3667HG	Oligodendrocytes	Down
0.000160009043665251	-5.18699407881522	1	0.062	0.593473542954417	CYSLTR2	Oligodendrocytes	Down
0.000160009043665251	-11.6069595422173	1	0.062	0.593473542954417	CCNT2-AS1	Oligodendrocytes	Down
0.000160009043665251	-4.13944817763001	1	0.062	0.593473542954417	GAP43	Oligodendrocytes	Down
0.000160009043665251	-12.0439092139261	1	0.062	0.593473542954417	ENSG00000246225	Oligodendrocytes	Down
0.000160009043665251	-4.55021385613721	1	0.062	0.593473542954417	B4GALNT3	Oligodendrocytes	Down
0.000160009043665251	-8.94668865628116	1	0.062	0.593473542954417	LINC01572	Oligodendrocytes	Down
0.000160009043665251	-10.5194002002668	1	0.062	0.593473542954417	TLE1-DT	Oligodendrocytes	Down
0.000160009043665251	-2.46729428066708	1	0.062	0.593473542954417	IL6R	Oligodendrocytes	Down
0.000160009043665251	-5.09815236847084	1	0.062	0.593473542954417	ZNF618	Oligodendrocytes	Down
0.000160009043665251	-9.44089302957352	1	0.062	0.593473542954417	PLAG1	Oligodendrocytes	Down
0.000160009043665251	-3.18415665778121	1	0.062	0.593473542954417	TMED3	Oligodendrocytes	Down
0.000160009043665251	-4.73689214431032	1	0.062	0.593473542954417	EPS15-AS1	Oligodendrocytes	Down
0.000160009043665251	-2.56627477713831	1	0.062	0.593473542954417	LGALS9	Oligodendrocytes	Down
0.000160009043665251	-4.71233272745983	1	0.062	0.593473542954417	IRF8	Oligodendrocytes	Down
0.000160009043665251	-5.34487555260084	1	0.062	0.593473542954417	SCHLAP1	Oligodendrocytes	Down
0.000160009043665251	-1.52000016130532	1	0.062	0.593473542954417	IFI44L	Oligodendrocytes	Down
0.000160009043665251	-3.88383840915463	1	0.062	0.593473542954417	PLIN2	Oligodendrocytes	Down
0.000160009043665251	-2.96951085591206	1	0.062	0.593473542954417	FLVCR2	Oligodendrocytes	Down
0.000160009043665251	-3.71012687615858	1	0.062	0.593473542954417	ENSG00000222042	Oligodendrocytes	Down
0.000160009043665251	-3.57776194065843	1	0.062	0.593473542954417	NOD1	Oligodendrocytes	Down
